Verb,Fightin_Word_Score_GPT,Fightin_Word_Score_LLAMA
loslaten,-0.5073574692512777,0.3883277328000763
sluiten,-0.5073574692512777,0.4578158102386574
slagen,-0.5073574692512777,0.5903370343589814
legde,-0.5073574692512777,0.3188852749326535
vertrouwen,-0.5073574692512777,-0.5996743830236809
begrijpen,-0.5073574692512777,-1.721650747198488
vergeten,-0.5073574692512777,0.4578158102386574
bestaan,-0.5073574692512777,-0.6698476313465431
vertonen,-0.5073574692512777,0.3188852749326535
aangaan,-0.5073574692512777,0.428975126884399
doorbrachen,-0.5073574692512777,-0.6698476313465431
versieren,-0.5073574692512777,-0.5996743830236809
domineren,-0.5073574692512777,0.6256492501353339
verrassen,-0.4986861590598324,-0.7397710828867157
staaren,-0.4845836786765655,0.8015579713815205
genoot,-0.4845836786765655,2.7390631498286786
steken,-0.4845836786765655,0.3188852749326535
zijn,-0.4627975280486919,-1.3143349809045235
delen,-0.3564130867347725,-1.3630501546635976
zet,-0.343349316849827,0.428975126884399
afvragen,-0.343349316849827,1.1679723390399492
verhuizen,-0.343349316849827,-1.721650747198488
bloemi,-0.343349316849827,-0.5996743830236809
ontmoeten,-0.2053645690236405,4.686720740692265
voelen,-0.1653691158088722,2.432605959819572
nemen,-0.1486450287863989,-3.16568861053118
openen,-0.1486450287863989,-0.0356606560915699
droomen,-0.1217095087699369,-5.154438425572769
stuiten,-0.1217095087699369,0.428975126884399
worstelen,-0.0976775508323814,-0.5996743830236809
wonen,-0.0976775508323814,0.1660717681201461
veranderen,-0.0653925001402415,1.4397948040282436
hebben,-0.0104513681994321,5.725682427029025
verkennen,0.0364772579507019,-1.4150569000116062
genieten,0.0364772579507019,1.2016083221532812
reizen,0.0364772579507019,0.54967555098157
runen,0.0364772579507019,-0.7806226467086
groeien,0.1171643074058558,0.8429597500836634
ontvangen,0.1683844354600908,0.803212958777915
beloven,0.1683844354600908,0.3883277328000763
eten,0.1683844354600908,-0.2772579672468028
slaan,0.1683844354600908,0.5139167119441359
verdwijnen,0.1683844354600908,-0.5996743830236809
helpen,0.1870982930155511,-0.0668293304364033
ervaren,0.2406536496590229,-1.7753993704146285
zeggen,0.2406536496590229,-0.9378127221333714
blijven,0.2406536496590229,5.068387212627783
denken,0.2406536496590229,1.3819913497198788
passioneren,0.3085946874105804,0.4578158102386574
willen,0.3424494076069975,-2.0521951863030137
raken,0.3487799613945837,0.1750670702860332
zingen,0.411222027726687,-0.5996743830236809
verbergen,0.411222027726687,0.7050747601572539
verdienen,0.411222027726687,-2.507522257221317
plaatsvinden,0.411222027726687,-1.0027724613664972
venaard,0.411222027726687,0.3188852749326535
respecteren,0.411222027726687,0.3188852749326535
worden,0.411222027726687,1.0291573631202482
roepen,0.411222027726687,-0.5996743830236809
selecteren,0.411222027726687,0.3188852749326535
verwezenlijken,0.411222027726687,0.7029090602240609
staat,0.411222027726687,0.4578158102386574
verstoren,0.411222027726687,0.3188852749326535
stemmen,0.411222027726687,-1.9935396036314372
vestigen,0.411222027726687,-4.005921554316262
richten,0.411222027726687,-0.5925926643450725
waarderen,0.411222027726687,-0.0285936210857453
tonen,0.411222027726687,-2.4337843486599984
overtreffen,0.411222027726687,0.3883277328000763
schitteren,0.411222027726687,0.3188852749326535
glijden,0.411222027726687,-0.5996743830236809
gebeuren,0.411222027726687,0.3883277328000763
eindigen,0.411222027726687,0.3188852749326535
haastten,0.411222027726687,0.3188852749326535
drukken,0.411222027726687,0.3188852749326535
introduceren,0.411222027726687,-5.5469956883124345
antwoorden,0.411222027726687,-0.6698476313465431
afwerken,0.411222027726687,0.3188852749326535
afsluiten,0.411222027726687,0.3883277328000763
aanleggen,0.411222027726687,0.3883277328000763
belonen,0.411222027726687,0.3188852749326535
dagen,0.411222027726687,-0.6698476313465431
concentreren,0.411222027726687,-0.2772579672468028
bewonderde,0.411222027726687,0.3188852749326535
besteeden,0.411222027726687,0.3188852749326535
bereiken,0.411222027726687,-2.507522257221317
