Adjective,Fightin_Word_Score_GPT,Fightin_Word_Score_LLAMA
direct,-0.5351718426995368,-4.5595221985513685
goede,-0.5132929078759666,-2.058215699743492
vrij,-0.4933648878797447,-0.7668585071752516
gelukkig,-0.4920574563873038,20.41193327939368
romantisch,-0.4907827535129478,8.21802378198443
bezig,-0.4752854687005293,15.893425346225058
impressionistische,-0.4713117000082021,-0.8362857056331702
intensieve,-0.4713117000082021,-0.876913533860706
isterwijl,-0.4713117000082021,5.434666142554019
makenterwijl,-0.4713117000082021,-0.7668585071752516
luna,-0.4713117000082021,-0.876913533860706
hechte,-0.4713117000082021,0.7978539088695388
lily,-0.4713117000082021,-0.876913533860706
tijdrovende,-0.4713117000082021,0.9079341482896276
ongelukkig,-0.4713117000082021,-0.7668585071752516
surrealistische,-0.4713117000082021,-0.8362857056331702
realistischer,-0.4713117000082021,0.7978539088695388
closer,-0.4713117000082021,0.7978539088695388
bouwkundige,-0.4713117000082021,-0.8362857056331702
open,-0.4291308803459545,-0.876913533860706
nieuw,-0.4058067727201285,-0.3574875282006931
persoonlijk,-0.3926773076768827,1.0987367617014527
moderne,-0.356906489389504,0.5483316139160858
onvergetelijke,-0.3323110135055704,-0.7668585071752516
rustig,-0.3093130072393439,-0.7668585071752516
imposante,-0.2972161108610091,0.7978539088695388
tevreden,-0.2972161108610091,5.824265923541255
klaar,-0.2336670641480916,6.416157670953911
warm,-0.2270234004893193,-0.876913533860706
muzikale,-0.2270234004893193,0.9079341482896276
antiek,-0.2101991754879116,0.7978539088695388
anders,-0.1742652940707119,0.7978539088695388
positieve,-0.1716841781924054,-6.0511015683009095
actief,-0.1716841781924054,6.954348813169514
dankbaar,-0.1716841781924054,9.43708977155799
stressvolle,-0.1487385331855393,-0.876913533860706
lokaal,-0.1487385331855393,-9.092368218509227
beste,-0.1295689698742207,8.84404508119735
emotioneel,-0.1215403366042319,0.7978539088695388
later,-0.1215403366042319,0.8017827503169213
breed,-0.0861519780457647,-0.7668585071752516
volledige,-0.0861519780457647,0.5483316139160858
machteloos,-0.0861519780457647,-0.876913533860706
tijdelijk,-0.0861519780457647,-0.876913533860706
kleurrijker,-0.0861519780457647,-0.8362857056331702
realistische,-0.0861519780457647,-4.090665105955513
drukste,-0.0861519780457647,0.7978539088695388
serieuze,-0.0861519780457647,0.9079341482896276
hard,-0.08222605200127,14.517885946497731
echte,-0.014342738354732,9.922297568471633
scherpe,0.0097303088329668,0.8672947382289993
intense,0.0234515601218462,-0.7668585071752516
unieke,0.0446246978966864,-6.400936571652496
vreemds,0.0588111287675039,0.7978539088695388
urenlang,0.0588111287675039,3.155642155014552
strenge,0.0588111287675039,-0.7668585071752516
volledig,0.0808834107002238,-7.038376392597524
mogelijk,0.0992083354135625,0.9509028647197304
oudere,0.1004591861206209,-7.938133883953498
dagelijks,0.1023589586475528,-8.212099878843556
belangrijk,0.1490519622622676,1.3474832974453483
creatief,0.1513835751120495,-0.876913533860706
duidelijk,0.1764627650858299,-0.8707802669347621
diepe,0.2083532153668851,9.877459468697724
constante,0.2145321168777624,-0.7668585071752516
specifieke,0.217205582641319,-0.7668585071752516
mis,0.217205582641319,-0.8362857056331702
houten,0.217205582641319,0.9092621405203082
diverse,0.217205582641319,0.7978539088695388
goed,0.2499121372617835,1.4564336102118778
echt,0.2662765907193736,-2.71732598145768
vaak,0.2760525027183826,-0.5896364992128375
eenzaam,0.2760525027183826,-0.7668585071752516
heel,0.2910160662813178,0.7978539088695388
late,0.3077597953248132,0.9774905900887316
wekenlang,0.3102497019227659,0.7978539088695388
nieuws,0.3102497019227659,0.9079341482896276
spannende,0.3102497019227659,2.795393568840822
serieus,0.3102497019227659,0.9079341482896276
heerlijke,0.3214187482545541,0.7978539088695388
ware,0.3468561624314693,-0.8362857056331702
bang,0.3670382343928086,-4.87666030966345
mogelijke,0.3670382343928086,-0.9057544432204558
veilige,0.3772020461318889,0.7978539088695388
verschillende,0.3772026933212821,-11.150446219228758
gevaarlijk,0.3909931814316749,-0.7668585071752516
ingewikkelde,0.4230525723204583,0.9092621405203082
donker,0.435745191185532,-0.7668585071752516
verleden,0.4396147590074808,-0.7668585071752516
recentelijk,0.4396147590074808,-0.8362857056331702
onweerstaanbare,0.4396147590074808,-0.7668585071752516
uiteindelijke,0.4471848157111284,0.9092621405203082
buitenaardse,0.4471848157111284,-0.876913533860706
vreemder,0.4471848157111284,-0.7668585071752516
experimentele,0.4471848157111284,-0.876913533860706
onderzoekt,0.4471848157111284,0.9377844243624202
eigenaardige,0.4471848157111284,-0.7668585071752516
geschikte,0.4471848157111284,0.7978539088695388
lief,0.4471848157111284,0.7978539088695388
onzeker,0.4471848157111284,-0.7668585071752516
ontevreden,0.4471848157111284,0.7978539088695388
dronken,0.4471848157111284,0.9079341482896276
onzichtbaar,0.4471848157111284,-0.7668585071752516
onafscheidelijk,0.4648693799339557,0.7978539088695388
gemeenschappelijke,0.4648693799339557,-5.514269706513232
afkomstig,0.4648693799339557,-0.7668585071752516
lekkerste,0.4648693799339557,-0.7668585071752516
idyllische,0.4648693799339557,0.9079341482896276
snel,0.4650754682226076,-1.3284837549834496
groot,0.4746925652276459,5.501204885045822
laatste,0.474736955652449,-3.2395680992594444
crime,0.5169311491379196,0.7978539088695388
geweldige,0.5169311491379196,-0.9057544432204558
efficiënt,0.5169311491379196,0.9118665908106104
passionele,0.5169311491379196,0.9092621405203082
uniek,0.5228186165210941,4.413127619000216
laatst,0.5324961215949365,0.9794801240374053
onopgemerkt,0.5324961215949365,-0.7668585071752516
slim,0.5388019810009747,0.9118665908106104
langer,0.5403140124396145,-3.2395680992594444
online,0.5576742506424962,0.9079341482896276
max,0.5576742506424962,0.5483316139160858
valse,0.5576742506424962,-0.7668585071752516
spoedig,0.5576742506424962,0.9794801240374053
energieke,0.5576742506424962,0.7978539088695388
oude,0.5662976095509855,12.165205919257335
stil,0.5681927295793043,-0.8362857056331702
gigantische,0.5865579184403982,0.8017827503169213
onbekende,0.5887502237981116,-2.0652789730539367
cryptische,0.6065959219971714,3.46554827172226
populaire,0.6089497323064326,0.7978539088695388
nieuwste,0.6169257961439367,-0.876913533860706
aanwezig,0.6589656606179651,0.8017827503169213
sterker,0.6707825962500897,0.5483316139160858
ver,0.7037960411171761,-0.7668585071752516
criminele,0.705627051495715,-0.876913533860706
geliefde,0.7075343132053298,-0.9464372083687476
